,dt,exchangetimestamp,product,openinterest,clearedvolume
89,2017-01-12,2017-01-12 02:06:46.774000000 America/New_York,ESZ7,73,5
90,2017-01-12,2017-01-12 02:06:46.778000000 America/New_York,ESH8,1,0
91,2017-01-12,2017-01-12 07:51:52.940000000 America/New_York,ESH7,2812785,1733727
92,2017-01-12,2017-01-12 07:51:52.943000000 America/New_York,ESM7,17942,1769
93,2017-01-12,2017-01-12 07:51:52.946000000 America/New_York,ESU7,151,19
94,2017-01-12,2017-01-12 07:51:52.950000000 America/New_York,ESZ7,73,5
95,2017-01-12,2017-01-12 07:51:52.953000000 America/New_York,ESH8,1,0
96,2017-01-12,2017-01-12 09:46:45.564000000 America/New_York,ESH7,2812470,1733727
97,2017-01-12,2017-01-12 09:46:45.568000000 America/New_York,ESM7,17938,1769
98,2017-01-12,2017-01-12 09:46:45.572000000 America/New_York,ESU7,151,19
99,2017-01-12,2017-01-12 09:46:45.576000000 America/New_York,ESZ7,73,5
100,2017-01-12,2017-01-12 09:46:45.579000000 America/New_York,ESH8,1,0
101,2017-01-13,2017-01-13 02:06:55.219000000 America/New_York,ESH7,2791769,1752976
102,2017-01-13,2017-01-13 02:06:55.222000000 America/New_York,ESM7,18990,2873
103,2017-01-13,2017-01-13 02:06:55.225000000 America/New_York,ESU7,151,12
104,2017-01-13,2017-01-13 02:06:55.229000000 America/New_York,ESZ7,74,3
105,2017-01-13,2017-01-13 02:06:55.232000000 America/New_York,ESH8,1,0
106,2017-01-13,2017-01-13 07:51:38.735000000 America/New_York,ESH7,2791769,1752976
107,2017-01-13,2017-01-13 07:51:38.738000000 America/New_York,ESM7,18990,2873
108,2017-01-13,2017-01-13 07:51:38.742000000 America/New_York,ESU7,151,12
109,2017-01-13,2017-01-13 07:51:38.745000000 America/New_York,ESZ7,74,3
110,2017-01-13,2017-01-13 07:51:38.749000000 America/New_York,ESH8,1,0
111,2017-01-13,2017-01-13 09:44:28.568000000 America/New_York,ESH7,2793398,1752976
112,2017-01-13,2017-01-13 09:44:28.571000000 America/New_York,ESM7,18981,2873
113,2017-01-13,2017-01-13 09:44:28.576000000 America/New_York,ESU7,151,12
114,2017-01-13,2017-01-13 09:44:28.579000000 America/New_York,ESZ7,74,3
115,2017-01-13,2017-01-13 09:44:28.583000000 America/New_York,ESH8,1,0
116,2017-01-15,2017-01-15 16:07:10.190000000 America/New_York,ESM7,19068,1277
117,2017-01-15,2017-01-15 16:07:10.193000000 America/New_York,ESU7,166,39
118,2017-01-15,2017-01-15 16:07:10.197000000 America/New_York,ESZ7,87,19
119,2017-01-15,2017-01-15 16:07:10.200000000 America/New_York,ESH8,1,0
120,2017-01-17,2017-01-17 02:06:55.129000000 America/New_York,ESH7,2807075,0
121,2017-01-17,2017-01-17 02:06:55.133000000 America/New_York,ESM7,19068,0
122,2017-01-17,2017-01-17 02:06:55.136000000 America/New_York,ESU7,166,0
123,2017-01-17,2017-01-17 02:06:55.139000000 America/New_York,ESZ7,87,0
124,2017-01-17,2017-01-17 02:06:55.142000000 America/New_York,ESH8,1,0
125,2017-01-17,2017-01-17 07:52:03.916000000 America/New_York,ESH7,2807075,0
126,2017-01-17,2017-01-17 07:52:03.920000000 America/New_York,ESM7,19068,0
127,2017-01-17,2017-01-17 07:52:03.923000000 America/New_York,ESU7,166,0
128,2017-01-17,2017-01-17 07:52:03.927000000 America/New_York,ESZ7,87,0
129,2017-01-17,2017-01-17 07:52:03.930000000 America/New_York,ESH8,1,0
130,2017-01-17,2017-01-17 09:47:02.466000000 America/New_York,ESH7,2803386,1192660
131,2017-01-17,2017-01-17 09:47:02.469000000 America/New_York,ESM7,19067,1277
132,2017-01-17,2017-01-17 09:47:02.473000000 America/New_York,ESU7,166,39
133,2017-01-17,2017-01-17 09:47:02.476000000 America/New_York,ESZ7,87,19
134,2017-01-17,2017-01-17 09:47:02.480000000 America/New_York,ESH8,1,0
135,2017-01-18,2017-01-18 02:06:44.327000000 America/New_York,ESH7,2792215,1540220
136,2017-01-18,2017-01-18 02:06:44.330000000 America/New_York,ESM7,19126,1375
137,2017-01-18,2017-01-18 02:06:44.334000000 America/New_York,ESU7,168,9
138,2017-01-18,2017-01-18 02:06:44.337000000 America/New_York,ESZ7,88,2
139,2017-01-18,2017-01-18 02:06:44.341000000 America/New_York,ESH8,1,0
140,2017-01-18,2017-01-18 07:51:44.135000000 America/New_York,ESH7,2792215,1540220
141,2017-01-18,2017-01-18 07:51:44.138000000 America/New_York,ESM7,19126,1375
142,2017-01-18,2017-01-18 07:51:44.141000000 America/New_York,ESU7,168,9
143,2017-01-18,2017-01-18 07:51:44.145000000 America/New_York,ESZ7,88,2
144,2017-01-18,2017-01-18 07:51:44.148000000 America/New_York,ESH8,1,0
145,2017-01-18,2017-01-18 09:51:03.724000000 America/New_York,ESH7,2791366,1540220
146,2017-01-18,2017-01-18 09:51:03.728000000 America/New_York,ESM7,19126,1375
147,2017-01-18,2017-01-18 09:51:03.731000000 America/New_York,ESU7,168,9
148,2017-01-18,2017-01-18 09:51:03.735000000 America/New_York,ESZ7,88,2
149,2017-01-18,2017-01-18 09:51:03.738000000 America/New_York,ESH8,1,0
150,2017-01-19,2017-01-19 02:06:40.440000000 America/New_York,ESH7,2792871,1111992
151,2017-01-19,2017-01-19 02:06:40.444000000 America/New_York,ESM7,19445,1892
152,2017-01-19,2017-01-19 02:06:40.447000000 America/New_York,ESU7,170,7
153,2017-01-19,2017-01-19 02:06:40.450000000 America/New_York,ESZ7,89,1
154,2017-01-19,2017-01-19 02:06:40.454000000 America/New_York,ESH8,1,0
155,2017-01-19,2017-01-19 07:51:42.636000000 America/New_York,ESH7,2792871,1111992
156,2017-01-19,2017-01-19 07:51:42.639000000 America/New_York,ESM7,19445,1892
157,2017-01-19,2017-01-19 07:51:42.642000000 America/New_York,ESU7,170,7
158,2017-01-19,2017-01-19 07:51:42.646000000 America/New_York,ESZ7,89,1
159,2017-01-19,2017-01-19 07:51:42.649000000 America/New_York,ESH8,1,0
160,2017-01-19,2017-01-19 09:49:06.667000000 America/New_York,ESH7,2790421,1111992
161,2017-01-19,2017-01-19 09:49:06.673000000 America/New_York,ESM7,19443,1892
162,2017-01-19,2017-01-19 09:49:06.676000000 America/New_York,ESU7,170,7
163,2017-01-19,2017-01-19 09:49:06.680000000 America/New_York,ESZ7,89,1
164,2017-01-19,2017-01-19 09:49:06.685000000 America/New_York,ESH8,1,0
165,2017-01-20,2017-01-20 02:06:55.517000000 America/New_York,ESH7,2814090,1386240
166,2017-01-20,2017-01-20 02:06:55.521000000 America/New_York,ESM7,20110,1796
167,2017-01-20,2017-01-20 02:06:55.524000000 America/New_York,ESU7,173,28
168,2017-01-20,2017-01-20 02:06:55.527000000 America/New_York,ESZ7,90,3
169,2017-01-20,2017-01-20 02:06:55.530000000 America/New_York,ESH8,1,0
170,2017-01-20,2017-01-20 07:51:46.391000000 America/New_York,ESH7,2814090,1386240
171,2017-01-20,2017-01-20 07:51:46.395000000 America/New_York,ESM7,20110,1796
172,2017-01-20,2017-01-20 07:51:46.398000000 America/New_York,ESU7,173,28
173,2017-01-20,2017-01-20 07:51:46.401000000 America/New_York,ESZ7,90,3
174,2017-01-20,2017-01-20 07:51:46.405000000 America/New_York,ESH8,1,0
175,2017-01-20,2017-01-20 10:08:43.777000000 America/New_York,ESH7,2813697,1386240
176,2017-01-20,2017-01-20 10:08:43.780000000 America/New_York,ESM7,20110,1796
177,2017-01-20,2017-01-20 10:08:43.783000000 America/New_York,ESU7,173,28
178,2017-01-20,2017-01-20 10:08:43.786000000 America/New_York,ESZ7,90,3
179,2017-01-20,2017-01-20 10:08:43.790000000 America/New_York,ESH8,1,0
180,2017-01-22,2017-01-22 16:06:48.921000000 America/New_York,ESH8,3,2
181,2017-01-23,2017-01-23 02:07:01.019000000 America/New_York,ESH8,3,2
182,2017-01-23,2017-01-23 07:51:59.329000000 America/New_York,ESU7,170,28
183,2017-01-23,2017-01-23 07:51:59.336000000 America/New_York,ESH8,3,2
184,2017-01-23,2017-01-23 09:46:39.859000000 America/New_York,ESU7,170,28
185,2017-01-23,2017-01-23 09:46:39.866000000 America/New_York,ESH8,3,2
186,2017-01-24,2017-01-24 02:06:47.763000000 America/New_York,ESU7,188,33
187,2017-01-24,2017-01-24 02:06:47.765000000 America/New_York,ESZ7,85,2
188,2017-01-24,2017-01-24 02:06:47.768000000 America/New_York,ESH8,3,0
189,2017-01-24,2017-01-24 07:51:49.795000000 America/New_York,ESU7,188,33
190,2017-01-24,2017-01-24 07:51:49.798000000 America/New_York,ESZ7,85,2
191,2017-01-24,2017-01-24 07:51:49.802000000 America/New_York,ESH8,3,0
192,2017-01-24,2017-01-24 09:48:43.438000000 America/New_York,ESU7,188,33
193,2017-01-24,2017-01-24 09:48:43.441000000 America/New_York,ESZ7,85,2
194,2017-01-24,2017-01-24 09:48:43.445000000 America/New_York,ESH8,3,0
195,2017-01-25,2017-01-25 02:07:00.654000000 America/New_York,ESH7,2848385,1273116
196,2017-01-25,2017-01-25 02:07:00.657000000 America/New_York,ESM7,21367,2566
197,2017-01-25,2017-01-25 02:07:00.661000000 America/New_York,ESU7,179,88
198,2017-01-25,2017-01-25 02:07:00.664000000 America/New_York,ESZ7,80,133
199,2017-01-25,2017-01-25 02:07:00.667000000 America/New_York,ESH8,4,1
200,2017-01-25,2017-01-25 07:51:52.304000000 America/New_York,ESH7,2848385,1273116
201,2017-01-25,2017-01-25 07:51:52.308000000 America/New_York,ESM7,21367,2566
202,2017-01-25,2017-01-25 07:51:52.311000000 America/New_York,ESU7,179,88
203,2017-01-25,2017-01-25 07:51:52.314000000 America/New_York,ESZ7,80,133
204,2017-01-25,2017-01-25 07:51:52.318000000 America/New_York,ESH8,4,1
205,2017-01-25,2017-01-25 09:46:00.825000000 America/New_York,ESH7,2847811,1273116
206,2017-01-25,2017-01-25 09:46:00.829000000 America/New_York,ESM7,21362,2566
207,2017-01-25,2017-01-25 09:46:00.833000000 America/New_York,ESU7,179,88
208,2017-01-25,2017-01-25 09:46:00.836000000 America/New_York,ESZ7,80,133
209,2017-01-25,2017-01-25 09:46:00.840000000 America/New_York,ESH8,4,1
210,2017-01-26,2017-01-26 02:06:50.585000000 America/New_York,ESH7,2859977,1386477
211,2017-01-26,2017-01-26 02:06:50.588000000 America/New_York,ESM7,23543,4957
212,2017-01-26,2017-01-26 02:06:50.592000000 America/New_York,ESU7,189,78
213,2017-01-26,2017-01-26 02:06:50.595000000 America/New_York,ESZ7,84,4
214,2017-01-26,2017-01-26 02:06:50.599000000 America/New_York,ESH8,4,0
215,2017-01-26,2017-01-26 07:52:05.120000000 America/New_York,ESH7,2859977,1386477
216,2017-01-26,2017-01-26 07:52:05.123000000 America/New_York,ESM7,23543,4957
217,2017-01-26,2017-01-26 07:52:05.127000000 America/New_York,ESU7,189,78
218,2017-01-26,2017-01-26 07:52:05.131000000 America/New_York,ESZ7,84,4
219,2017-01-26,2017-01-26 07:52:05.134000000 America/New_York,ESH8,4,0
220,2017-01-26,2017-01-26 09:46:18.509000000 America/New_York,ESH7,2855527,1386477
221,2017-01-26,2017-01-26 09:46:18.512000000 America/New_York,ESM7,23542,4957
222,2017-01-26,2017-01-26 09:46:18.515000000 America/New_York,ESU7,189,78
223,2017-01-26,2017-01-26 09:46:18.519000000 America/New_York,ESZ7,84,4
224,2017-01-26,2017-01-26 09:46:18.522000000 America/New_York,ESH8,4,0
225,2017-01-27,2017-01-27 02:06:44.381000000 America/New_York,ESH7,2836602,1170427
226,2017-01-27,2017-01-27 02:06:44.385000000 America/New_York,ESM7,24662,2665
227,2017-01-27,2017-01-27 02:06:44.388000000 America/New_York,ESU7,210,39
228,2017-01-27,2017-01-27 02:06:44.391000000 America/New_York,ESZ7,85,5
229,2017-01-27,2017-01-27 02:06:44.395000000 America/New_York,ESH8,4,0
230,2017-01-27,2017-01-27 07:51:49.204000000 America/New_York,ESH7,2836602,1170427
231,2017-01-27,2017-01-27 07:51:49.207000000 America/New_York,ESM7,24662,2665
232,2017-01-27,2017-01-27 07:51:49.211000000 America/New_York,ESU7,210,39
233,2017-01-27,2017-01-27 07:51:49.214000000 America/New_York,ESZ7,85,5
234,2017-01-27,2017-01-27 07:51:49.217000000 America/New_York,ESH8,4,0
235,2017-01-27,2017-01-27 09:46:13.439000000 America/New_York,ESH7,2835457,1170427
236,2017-01-27,2017-01-27 09:46:13.442000000 America/New_York,ESM7,24662,2665
237,2017-01-27,2017-01-27 09:46:13.445000000 America/New_York,ESU7,210,39
238,2017-01-27,2017-01-27 09:46:13.449000000 America/New_York,ESZ7,85,5
239,2017-01-27,2017-01-27 09:46:13.452000000 America/New_York,ESH8,4,0
240,2017-01-30,2017-01-30 02:06:52.560000000 America/New_York,ESH7,2819886,942076
241,2017-01-30,2017-01-30 02:06:52.563000000 America/New_York,ESM7,26962,4898
242,2017-01-30,2017-01-30 02:06:52.567000000 America/New_York,ESU7,211,12
243,2017-01-30,2017-01-30 02:06:52.570000000 America/New_York,ESZ7,85,1
244,2017-01-30,2017-01-30 02:06:52.573000000 America/New_York,ESH8,4,0
245,2017-01-30,2017-01-30 07:51:40.726000000 America/New_York,ESH7,2819886,942076
246,2017-01-30,2017-01-30 07:51:40.729000000 America/New_York,ESM7,26962,4898
247,2017-01-30,2017-01-30 07:51:40.733000000 America/New_York,ESU7,211,12
248,2017-01-30,2017-01-30 07:51:40.737000000 America/New_York,ESZ7,85,1
249,2017-01-30,2017-01-30 07:51:40.741000000 America/New_York,ESH8,4,0
250,2017-01-30,2017-01-30 09:45:34.297000000 America/New_York,ESH7,2819735,942076
251,2017-01-30,2017-01-30 09:45:34.301000000 America/New_York,ESM7,26954,4898
252,2017-01-30,2017-01-30 09:45:34.304000000 America/New_York,ESU7,211,12
253,2017-01-30,2017-01-30 09:45:34.308000000 America/New_York,ESZ7,85,1
254,2017-01-30,2017-01-30 09:45:34.311000000 America/New_York,ESH8,4,0
255,2017-01-31,2017-01-31 02:06:51.475000000 America/New_York,ESH7,2804673,1850992
256,2017-01-31,2017-01-31 02:06:51.478000000 America/New_York,ESM7,31392,9099
257,2017-01-31,2017-01-31 02:06:51.481000000 America/New_York,ESU7,197,71
258,2017-01-31,2017-01-31 02:06:51.485000000 America/New_York,ESZ7,88,8
259,2017-01-31,2017-01-31 02:06:51.488000000 America/New_York,ESH8,1,4
260,2017-01-31,2017-01-31 07:51:51.346000000 America/New_York,ESH7,2804673,1850992
261,2017-01-31,2017-01-31 07:51:51.349000000 America/New_York,ESM7,31392,9099
262,2017-01-31,2017-01-31 07:51:51.352000000 America/New_York,ESU7,197,71
263,2017-01-31,2017-01-31 07:51:51.355000000 America/New_York,ESZ7,88,8
264,2017-01-31,2017-01-31 07:51:51.359000000 America/New_York,ESH8,1,4
265,2017-01-31,2017-01-31 09:47:14.819000000 America/New_York,ESH7,2805447,1850992
266,2017-01-31,2017-01-31 09:47:14.822000000 America/New_York,ESM7,31392,9099
267,2017-01-31,2017-01-31 09:47:14.825000000 America/New_York,ESU7,197,71
268,2017-01-31,2017-01-31 09:47:14.829000000 America/New_York,ESZ7,88,8
269,2017-01-31,2017-01-31 09:47:14.832000000 America/New_York,ESH8,1,4
270,2017-02-01,2017-02-01 02:06:54.361000000 America/New_York,ESH7,2809288,1628810
271,2017-02-01,2017-02-01 02:06:54.365000000 America/New_York,ESM7,31446,4554
272,2017-02-01,2017-02-01 02:06:54.366000000 America/New_York,ESU7,201,47
273,2017-02-01,2017-02-01 02:06:54.369000000 America/New_York,ESZ7,83,7
274,2017-02-01,2017-02-01 02:06:54.372000000 America/New_York,ESH8,1,1
275,2017-02-01,2017-02-01 07:51:47.123000000 America/New_York,ESH7,2809288,1628810
276,2017-02-01,2017-02-01 07:51:47.126000000 America/New_York,ESM7,31446,4554
277,2017-02-01,2017-02-01 07:51:47.130000000 America/New_York,ESU7,201,47
278,2017-02-01,2017-02-01 07:51:47.133000000 America/New_York,ESZ7,83,7
279,2017-02-01,2017-02-01 07:51:47.137000000 America/New_York,ESH8,1,1
280,2017-02-01,2017-02-01 13:15:32.211000000 America/New_York,ESH7,2807756,1628810
281,2017-02-01,2017-02-01 13:15:32.215000000 America/New_York,ESM7,31446,4554
282,2017-02-01,2017-02-01 13:15:32.218000000 America/New_York,ESU7,200,47
283,2017-02-01,2017-02-01 13:15:32.222000000 America/New_York,ESZ7,83,7
284,2017-02-01,2017-02-01 13:15:32.225000000 America/New_York,ESH8,1,1
285,2017-02-02,2017-02-02 07:51:43.482000000 America/New_York,ESH7,2829555,1565006
286,2017-02-02,2017-02-02 07:51:43.485000000 America/New_York,ESM7,31800,2887
287,2017-02-02,2017-02-02 07:51:43.489000000 America/New_York,ESU7,189,52
288,2017-02-02,2017-02-02 07:51:43.492000000 America/New_York,ESZ7,61,30
289,2017-02-02,2017-02-02 07:51:43.495000000 America/New_York,ESH8,2,1
290,2017-02-02,2017-02-02 12:03:58.881000000 America/New_York,ESH7,2829202,1565006
291,2017-02-02,2017-02-02 12:03:58.885000000 America/New_York,ESM7,31800,2887
292,2017-02-02,2017-02-02 12:03:58.888000000 America/New_York,ESU7,189,52
293,2017-02-02,2017-02-02 12:03:58.891000000 America/New_York,ESZ7,61,30
294,2017-02-02,2017-02-02 12:03:58.895000000 America/New_York,ESH8,2,1
295,2017-02-03,2017-02-03 02:06:43.872000000 America/New_York,ESH7,2817709,1414426
296,2017-02-03,2017-02-03 02:06:43.875000000 America/New_York,ESM7,32910,3290
297,2017-02-03,2017-02-03 02:06:43.879000000 America/New_York,ESU7,190,26
298,2017-02-03,2017-02-03 02:06:43.882000000 America/New_York,ESZ7,59,6
299,2017-02-03,2017-02-03 02:06:43.885000000 America/New_York,ESH8,3,1
300,2017-02-03,2017-02-03 07:51:53.629000000 America/New_York,ESH7,2817709,1414426
301,2017-02-03,2017-02-03 07:51:53.632000000 America/New_York,ESM7,32910,3290
302,2017-02-03,2017-02-03 07:51:53.636000000 America/New_York,ESU7,190,26
303,2017-02-03,2017-02-03 07:51:53.638000000 America/New_York,ESZ7,59,6
304,2017-02-03,2017-02-03 07:51:53.642000000 America/New_York,ESH8,3,1
305,2017-02-03,2017-02-03 09:44:34.317000000 America/New_York,ESH7,2817455,1414426
306,2017-02-03,2017-02-03 09:44:34.320000000 America/New_York,ESM7,32904,3290
307,2017-02-03,2017-02-03 09:44:34.324000000 America/New_York,ESU7,190,26
308,2017-02-03,2017-02-03 09:44:34.328000000 America/New_York,ESZ7,59,6
309,2017-02-03,2017-02-03 09:44:34.332000000 America/New_York,ESH8,3,1
310,2017-02-05,2017-02-05 16:06:59.521000000 America/New_York,ESH7,2835963,1415043
311,2017-02-05,2017-02-05 16:06:59.524000000 America/New_York,ESM7,33934,4663
312,2017-02-05,2017-02-05 16:06:59.528000000 America/New_York,ESU7,197,155
313,2017-02-05,2017-02-05 16:06:59.531000000 America/New_York,ESZ7,59,11
314,2017-02-05,2017-02-05 16:06:59.535000000 America/New_York,ESH8,5,4
315,2017-02-06,2017-02-06 02:07:00.118000000 America/New_York,ESH7,2835963,1415043
316,2017-02-06,2017-02-06 02:07:00.122000000 America/New_York,ESM7,33934,4663
317,2017-02-06,2017-02-06 02:07:00.127000000 America/New_York,ESU7,197,155
318,2017-02-06,2017-02-06 02:07:00.130000000 America/New_York,ESZ7,59,11
319,2017-02-06,2017-02-06 02:07:00.134000000 America/New_York,ESH8,5,4
320,2017-02-06,2017-02-06 07:51:58.157000000 America/New_York,ESH7,2835963,1415043
321,2017-02-06,2017-02-06 07:51:58.161000000 America/New_York,ESM7,33934,4663
322,2017-02-06,2017-02-06 07:51:58.164000000 America/New_York,ESU7,197,155
323,2017-02-06,2017-02-06 07:51:58.168000000 America/New_York,ESZ7,59,11
324,2017-02-06,2017-02-06 07:51:58.171000000 America/New_York,ESH8,5,4
325,2017-02-06,2017-02-06 09:45:50.309000000 America/New_York,ESH7,2831500,1415043
326,2017-02-06,2017-02-06 09:45:50.312000000 America/New_York,ESM7,33930,4663
327,2017-02-06,2017-02-06 09:45:50.316000000 America/New_York,ESU7,197,155
328,2017-02-06,2017-02-06 09:45:50.321000000 America/New_York,ESZ7,59,11
